label,Book Id,Length,Date,ext,value
1338Tawzari.TawdihAhkam,Sham19Y0133369,218669,1338,-ara1,Sham19Y0133369-ara1
1339IsmacilBashaBaghdadi.HadiyatCarifin,Shia003362Vols,400026,1339,-ara1.mARkdown,Shia003362Vols-ara1.mARkdown
1339IsmacilBashaBaghdadi.IdahMaknun,JK000845,279941,1339,-ara1.completed,JK000845-ara1.completed
1339ShaykhSharicaIsbahani.QawlSurah,Shia001561,59368,1339,-ara1,Shia001561-ara1
1340CaliBahrani.AnwarBadrayn,Shia004524,90280,1340,-ara1,Shia004524-ara1
1340CaliBahrani.ManarHuda,Shia004525,185833,1340,-ara1,Shia004525-ara1
1340HabibAllahSharifKashani.DurraFakhira,Shia002977,3827,1340,-ara1.completed,Shia002977-ara1.completed
1341CabdHayyTalibi.IclamBiMan,Shamela0001584,632750,1341,-ara1.completed,Shamela0001584-ara1.completed
1341SayfIbnNasirKharusi.JamicArkanIslam,ShamIbadiyya0000203,31586,1341,-ara1,ShamIbadiyya0000203-ara1
1342JacfarHashimi.AkhbarGhariba,ShamAY0038438,21878,1342,-ara1,ShamAY0038438-ara1
1342MahmudShukriAlusi.AkhbarShica,ShamAY0035891,33108,1342,-ara1,ShamAY0035891-ara1
1342MahmudShukriAlusi.FaslKhitab,Shamela0008549,32168,1342,-ara1,Shamela0008549-ara1
1342MahmudShukriAlusi.GharaibFiqhiyya,ShamAY0035689,21620,1342,-ara1,ShamAY0035689-ara1
1342MahmudShukriAlusi.GhayatAmani,Shamela0012034,286297,1342,-ara1,Shamela0012034-ara1
1342MahmudShukriAlusi.MaDallaCalayhiQuran,Shamela0005551,21393,1342,-ara1,Shamela0005551-ara1
1342MahmudShukriAlusi.MukhtasarTuhfaIthnaCashariyya,Shamela0036091,93468,1342,-ara1,Shamela0036091-ara1
1342MahmudShukriAlusi.RawhMacani,ShamAY0034055,3471965,1342,-ara1,ShamAY0034055-ara1
1342MahmudShukriAlusi.SabbCadhab,Shamela0009775,24445,1342,-ara1,Shamela0009775-ara1
1342MahmudShukriAlusi.Suyuf,Shamela0096337,106644,1342,-ara1,Shamela0096337-ara1
1343HasanIbnYahyaQasimi.NurSatic,Zaydiyya0000031,4501,1343,-ara1,Zaydiyya0000031-ara1
1343MustafaManfaluti.Cibarat,Shamela0026382,37657,1343,-ara1,Shamela0026382-ara1
1343MustafaManfaluti.Hijab,Shamela0022274,3342,1343,-ara1,Shamela0022274-ara1
1343MustafaManfaluti.Nazarat,Shamela0011400,152814,1343,-ara1,Shamela0011400-ara1
1345IbnCafifiKhudari.NurYaqin,ShamAY0034443,69525,1345,-ara1,ShamAY0034443-ara1
1345IbnJacfarKattani.NazmMutanathir,Shia002298,51283,1345,-ara1,Shia002298-ara1
1345IbnJacfarKattani.RisalaMustatrafa,Shamela0007636,38717,1345,-ara1.completed,Shamela0007636-ara1.completed
1345IbnJacfarKattani.RisalatMusalsalat,Shamela0011781,5888,1345,-ara1,Shamela0011781-ara1
1345IbnMuhsinKashani.SahifaHadiya,Shia003759,31374,1345,-ara1,Shia003759-ara1
1346CabbasIbnMuhammadMadani.MukhtasarFathRabbArbab,Shamela0031381,10017,1346,-ara1.completed,Shamela0031381-ara1.completed
1346CabdQadirBadran.Jawahir,Sham19Y0020643,148948,1346,-ara1,Sham19Y0020643-ara1
1346CabdQadirBadran.MadkhalIlaMadhhabAhmad,ShamAY0034195,90096,1346,-ara1,ShamAY0034195-ara1
1346CabdQadirBadran.Munadama,Shamela0006710,109986,1346,-ara1.completed,Shamela0006710-ara1.completed
1346HakimMicrajDin.UsulArbaca,Shia004526,36269,1346,-ara1,Shia004526-ara1
1346KhalilAhmadSaharanpuri.BadhlMajhud,Sham19Y0014601,2136260,1346,-ara1,Sham19Y0014601-ara1
1346LuisShikhuYasuci.MajaniAdab,Sham19Y0000259,361402,1346,-ara1,Sham19Y0000259-ara1
1346LuisShikhuYasuci.Nasraniyya,Sham19Y0005414,122149,1346,-ara1,Sham19Y0005414-ara1
1346LuisShikhuYasuci.ShucaraNasraniyya,Shamela0021525,258718,1346,-ara1.completed,Shamela0021525-ara1.completed
1346LuisShikhuYasuci.TarikhAdabCarabiyya,Sham19Y0010438,135008,1346,-ara1,Sham19Y0010438-ara1
1347BashirYamut.Shacirat,Shamela0021508,36631,1347,-ara1.completed,Shamela0021508-ara1.completed
1347HasanSinawani.AslJamic,Sham19Y0001469,194992,1347,-ara1,Sham19Y0001469-ara1
1348AhmadTaymurBasha.AwhamShucaraCarab,Sham19Y0005361,15352,1348,-ara1,Sham19Y0005361-ara1
1348AhmadTaymurBasha.IclamMuhandisin,ShamAY0034656,18121,1348,-ara1,ShamAY0034656-ara1
1348AhmadTaymurBasha.MucjamTaymurKabir,Sham19Y0150964,335914,1348,-ara1,Sham19Y0150964-ara1
1348AhmadTaymurBasha.NazraTarikhiyya,Sham19Y0096605,14838,1348,-ara1,Sham19Y0096605-ara1
1348AhmadTaymurBasha.SamacWaQiyas,Sham19Y0037477,11558,1348,-ara1,Sham19Y0037477-ara1
1348AhmadTaymurBasha.TashihLisanCarab,Sham19Y0007063,28808,1348,-ara1,Sham19Y0007063-ara1
1348MuhammadSulaymanMansurpuri.RahmatCalamin,Sham19Y0014328,245914,1348,-ara1,Sham19Y0014328-ara1
1349CabdHamidFarahi.MufradatQuran,Sham19Y0096629,87958,1349,-ara1,Sham19Y0096629-ara1
1349IbnSahmanKhathcami.BayanMubdi,Shamela0007568,26036,1349,-ara1,Shamela0007568-ara1
1349IbnSahmanKhathcami.DiyaShariq,Shamela0007664,95798,1349,-ara1,Shamela0007664-ara1
1349IbnSahmanKhathcami.Futyayan,Shamela0006515,1074,1349,-ara1,Shamela0006515-ara1
1349IbnSahmanKhathcami.IqamatHujja,Shamela0007516,10800,1349,-ara1,Shamela0007516-ara1
1349IbnSahmanKhathcami.IrshadTalib,ShamAY0036572,12876,1349,-ara1,ShamAY0036572-ara1
1349IbnSahmanKhathcami.KashfAwham,JK001025,14776,1349,-ara1,JK001025-ara1
1349IbnSahmanKhathcami.KashfGhayahib,Shamela0011353,90703,1349,-ara1,Shamela0011353-ara1
1349IbnSahmanKhathcami.KashfShubhatayn,Shamela0011352,21253,1349,-ara1,Shamela0011352-ara1
1349IbnSahmanKhathcami.MinhajAhlHaqq,Shamela0012091,22097,1349,-ara1,Shamela0012091-ara1
1349IbnSahmanKhathcami.NazamIkhtiyarat,Shamela0003940,1748,1349,-ara1,Shamela0003940-ara1
1349IbnSahmanKhathcami.NazamMaInfaradaBihi,Shamela0003727,619,1349,-ara1,Shamela0003727-ara1
1349IbnSahmanKhathcami.SawaciqMursala,Shamela0007663,48268,1349,-ara1,Shamela0007663-ara1
1349IbnSahmanKhathcami.TamayyuzSidq,Shamela0006488,4775,1349,-ara1,Shamela0006488-ara1
1349IbnSahmanKhathcami.TanbihDhawiAlbab,Shamela0011123,17934,1349,-ara1,Shamela0011123-ara1
1349IbrahimMarighani.DalilHayran,Sham19Y0001484,114175,1349,-ara1,Sham19Y0001484-ara1
1349MuhammadCabdCazizKhawli.AdabNabawi,Sham19Y0009763,83656,1349,-ara1,Sham19Y0009763-ara1
1349RamadanHamud.BudhurHayat,ShamIbadiyya0000201,19410,1349,-ara1,ShamIbadiyya0000201-ara1
1349SacdCatiqNajdi.Ijazatan,ShamAY0033537,5544,1349,-ara1,ShamAY0033537-ara1
